car model,car category,brand name,price,engine,transmission,fuel type,kmpl,color,year,seater,carfullfeature,dealer ID,dealer name,dealer GPS
Maruti Suzuki S-Cross,Compact SUV,Maruti Suzuki,1200000,1.5L,Manual,Petrol,17,White,2022,5,Maruti Suzuki S-Cross Compact SUV by Maruti Suzuki priced at 1200000 features a 1.5L engine Manual transmission Petrol fuel type 17 kmpl White color 5 seater manufactured in 2022,dealer_592,MNY Cars,"https://www.google.com/maps/search/?api=1&query=25.37185157854247,70.52082543356013"
Tata Nexon,Compact SUV,Tata Motors,1200000,1.2L Turbo,Automatic,Petrol,22,Blue,2023,5,Tata Nexon Compact SUV by Tata Motors priced at 1200000 features a 1.2L Turbo engine Automatic transmission Petrol fuel type 22 kmpl Blue color 5 seater manufactured in 2023,dealer_722,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=35.813169042356805,89.34123378268407"
Mahindra Thar,Off-road SUV,Mahindra,1600000,2.0L Turbo,Manual,Petrol,15,Red,2022,4,Mahindra Thar Off-road SUV by Mahindra priced at 1600000 features a 2.0L Turbo engine Manual transmission Petrol fuel type 15 kmpl Red color 4 seater manufactured in 2022,dealer_72,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=17.933203458177758,92.59571476853962"
Kia Seltos,Compact SUV,Kia,1500000,1.5L,Automatic,Diesel,20,Blue,2023,5,Kia Seltos Compact SUV by Kia priced at 1400000 features a 1.5L engine Manual transmission Diesel fuel type 20 kmpl Silver color 5 seater manufactured in 2023,dealer_47,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=14.593178507869624,71.56052980021855"
Honda City,Sedan,Honda,1200000,1.5L,Manual,Petrol,17,Black,2023,5,Honda City Sedan by Honda priced at 1200000 features a 1.5L engine Manual transmission Petrol fuel type 17 kmpl Black color 5 seater manufactured in 2023,dealer_678,MNY Cars,"https://www.google.com/maps/search/?api=1&query=20.284309010194004,93.41687820038352"
Ford EcoSport,Compact SUV,Ford,1100000,1.5L,Automatic,Petrol,16,Blue,2022,5,Ford EcoSport Compact SUV by Ford priced at 1100000 features a 1.5L engine Automatic transmission Petrol fuel type 16 kmpl Blue color 5 seater manufactured in 2022,dealer_234,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=16.349958877796055,86.64484134481334"
Nissan Magnite,Compact SUV,Nissan,1200000,1.0L Turbo,Automatic,Petrol,18,Red,2023,5,Nissan Magnite Compact SUV by Nissan priced at 1000000 features a 1.0L Turbo engine Manual transmission Petrol fuel type 18 kmpl Red color 5 seater manufactured in 2023,dealer_792,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=25.833557631426977,88.41443791901678"
MG Hector,Mid-size SUV,MG,1800000,2.0L,Automatic,Diesel,17,Silver,2023,5,MG Hector Mid-size SUV by MG priced at 1800000 features a 2.0L engine Automatic transmission Diesel fuel type 17 kmpl Silver color 5 seater manufactured in 2023,dealer_297,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=34.44371985644598,94.40809610266882"
Volkswagen Polo,Hatchback,Volkswagen,800000,1.0L,Manual,Petrol,19,White,2022,5,Volkswagen Polo Hatchback by Volkswagen priced at 800000 features a 1.0L engine Manual transmission Petrol fuel type 19 kmpl White color 5 seater manufactured in 2022,dealer_82,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=12.034369630148795,86.11807686025428"
Renault Kwid,Hatchback,Renault,500000,0.8L,Manual,Petrol,25,Blue,2023,5,Renault Kwid Hatchback by Renault priced at 500000 features a 0.8L engine Manual transmission Petrol fuel type 25 kmpl Blue color 5 seater manufactured in 2023,dealer_876,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=10.923043487460708,77.74010985734522"
Skoda Superb,Sedan,Skoda,2800000,2.0L,Automatic,Petrol,15,Black,2023,5,Skoda Superb Sedan by Skoda priced at 2800000 features a 2.0L engine Automatic transmission Petrol fuel type 15 kmpl Black color 5 seater manufactured in 2023,dealer_239,MNY Cars,"https://www.google.com/maps/search/?api=1&query=15.424450423756205,91.92811261125713"
Hyundai i20,Hatchback,Hyundai,1000000,1.2L,Automatic,Petrol,20,Red,2023,5,Hyundai i20 Hatchback by Hyundai priced at 900000 features a 1.2L engine Manual transmission Petrol fuel type 20 kmpl Red color 5 seater manufactured in 2023,dealer_888,MNY Cars,"https://www.google.com/maps/search/?api=1&query=29.056771995809623,78.52871715365762"
Tata Harrier,Mid-size SUV,Tata Motors,2000000,2.0L,Automatic,Diesel,16,White,2022,5,Tata Harrier Mid-size SUV by Tata Motors priced at 2000000 features a 2.0L engine Automatic transmission Diesel fuel type 16 kmpl White color 5 seater manufactured in 2022,dealer_104,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=25.195924252505826,68.99261521379535"
Maruti Suzuki Alto,Hatchback,Maruti Suzuki,400000,0.8L,Manual,Petrol,22,Silver,2023,5,Maruti Suzuki Alto Hatchback by Maruti Suzuki priced at 400000 features a 0.8L engine Manual transmission Petrol fuel type 22 kmpl Silver color 5 seater manufactured in 2023,dealer_390,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=10.964167262530788,92.08898069039225"
Kia Carnival,Minivan,Kia,2800000,2.2L,Automatic,Diesel,14,Blue,2022,7,Kia Carnival Minivan by Kia priced at 2800000 features a 2.2L engine Automatic transmission Diesel fuel type 14 kmpl Blue color 7 seater manufactured in 2022,dealer_285,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=34.643765145561645,78.010572201557"
Honda CR-V,Mid-size SUV,Honda,2500000,2.0L,Automatic,Petrol,12,Red,2022,5,Honda CR-V Mid-size SUV by Honda priced at 2500000 features a 2.0L engine Automatic transmission Petrol fuel type 12 kmpl Red color 5 seater manufactured in 2022,dealer_465,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=30.912454476598516,90.44120117283887"
Ford Endeavour,Full-size SUV,Ford,3500000,3.2L,Automatic,Diesel,10,White,2023,7,Ford Endeavour Full-size SUV by Ford priced at 3500000 features a 3.2L engine Automatic transmission Diesel fuel type 10 kmpl White color 7 seater manufactured in 2023,dealer_651,MNY Cars,"https://www.google.com/maps/search/?api=1&query=8.667655538841489,78.51997894531242"
Volkswagen Tiguan,Mid-size SUV,Volkswagen,3000000,2.0L,Automatic,Diesel,13,Black,2022,5,Volkswagen Tiguan Mid-size SUV by Volkswagen priced at 3000000 features a 2.0L engine Automatic transmission Diesel fuel type 13 kmpl Black color 5 seater manufactured in 2022,dealer_855,MNY Cars,"https://www.google.com/maps/search/?api=1&query=26.889649118659136,92.97097257926693"
Hyundai Verna,Sedan,Hyundai,1300000,1.5L,Manual,Petrol,17,Blue,2023,5,Hyundai Verna Sedan by Hyundai priced at 1300000 features a 1.5L engine Manual transmission Petrol fuel type 17 kmpl Blue color 5 seater manufactured in 2023,dealer_374,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=30.3661533870724,74.3658052273478"
Mahindra XUV300,Compact SUV,Mahindra,1200000,1.2L,Manual,Petrol,17,Red,2022,5,Mahindra XUV300 Compact SUV by Mahindra priced at 1200000 features a 1.2L engine Manual transmission Petrol fuel type 17 kmpl Red color 5 seater manufactured in 2022,dealer_167,MNY Cars,"https://www.google.com/maps/search/?api=1&query=18.85862572189224,96.26187069076722"
Renault Duster,Compact SUV,Renault,1100000,1.5L,Manual,Diesel,19,White,2023,5,Renault Duster Compact SUV by Renault priced at 1100000 features a 1.5L engine Manual transmission Diesel fuel type 19 kmpl White color 5 seater manufactured in 2023,dealer_380,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=9.998724641649344,90.61300446885289"
Nissan Kicks,Compact SUV,Nissan,1000000,1.5L,Manual,Petrol,18,Silver,2023,5,Nissan Kicks Compact SUV by Nissan priced at 1000000 features a 1.5L engine Manual transmission Petrol fuel type 18 kmpl Silver color 5 seater manufactured in 2023,dealer_364,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=10.24231089917483,71.31289985169151"
MG ZS EV,Electric SUV,MG,2300000,Electric,Automatic,Electric,44,Blue,2022,5,MG ZS EV Electric SUV by MG priced at 2300000 features an Electric engine Automatic transmission Electric fuel type 44 kmpl Blue color 5 seater manufactured in 2022,dealer_215,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=11.023162015502475,84.40752197903025"
Hyundai Kona,Electric SUV,Hyundai,2400000,Electric,Automatic,Electric,45,White,2023,5,Hyundai Kona Electric SUV by Hyundai priced at 2400000 features an Electric engine Automatic transmission Electric fuel type 45 kmpl White color 5 seater manufactured in 2023,dealer_687,MNY Cars,"https://www.google.com/maps/search/?api=1&query=32.37274932743226,96.57565205501031"
Tata Tigor EV,Electric Sedan,Tata Motors,1200000,Electric,Automatic,Electric,42,Black,2023,5,Tata Tigor EV Electric Sedan by Tata Motors priced at 1200000 features an Electric engine Automatic transmission Electric fuel type 42 kmpl Black color 5 seater manufactured in 2023,dealer_274,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=34.40989974941568,81.66089812812062"
Mahindra eVerito,Electric Sedan,Mahindra,1000000,Electric,Automatic,Electric,40,Blue,2022,5,Mahindra eVerito Electric Sedan by Mahindra priced at 1000000 features an Electric engine Automatic transmission Electric fuel type 40 kmpl Blue color 5 seater manufactured in 2022,dealer_719,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=11.56151267352628,73.28110702582592"
BMW X5,Full-size SUV,BMW,7500000,3.0L,Automatic,Petrol,11,Black,2023,5,BMW X5 Full-size SUV by BMW priced at 7500000 features a 3.0L engine Automatic transmission Petrol fuel type 11 kmpl Black color 5 seater manufactured in 2023,dealer_960,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=14.841275003257355,82.05857264736004"
Audi Q7,Full-size SUV,Audi,8000000,3.0L,Automatic,Diesel,10,White,2022,7,Audi Q7 Full-size SUV by Audi priced at 8000000 features a 3.0L engine Automatic transmission Diesel fuel type 10 kmpl White color 7 seater manufactured in 2022,dealer_700,MNY Cars,"https://www.google.com/maps/search/?api=1&query=12.800094800651404,82.86127202057573"
Mercedes-Benz GLC,Mid-size SUV,Mercedes-Benz,6000000,2.0L,Automatic,Petrol,12,Silver,2023,5,Mercedes-Benz GLC Mid-size SUV by Mercedes-Benz priced at 6000000 features a 2.0L engine Automatic transmission Petrol fuel type 12 kmpl Silver color 5 seater manufactured in 2023,dealer_664,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=13.403305505329499,89.5089213826313"
Jaguar F-Pace,Mid-size SUV,Jaguar,7000000,2.0L,Automatic,Diesel,11,Red,2022,5,Jaguar F-Pace Mid-size SUV by Jaguar priced at 7000000 features a 2.0L engine Automatic transmission Diesel fuel type 11 kmpl Red color 5 seater manufactured in 2022,dealer_74,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=32.28723288107227,88.26652974166623"
Range Rover Evoque,Compact SUV,Land Rover,6500000,2.0L,Automatic,Petrol,10,Blue,2023,5,Range Rover Evoque Compact SUV by Land Rover priced at 6500000 features a 2.0L engine Automatic transmission Petrol fuel type 10 kmpl Blue color 5 seater manufactured in 2023,dealer_624,MNY Cars,"https://www.google.com/maps/search/?api=1&query=17.63224596699323,79.67395126431244"
Volvo XC90,Full-size SUV,Volvo,8500000,2.0L,Automatic,Diesel,10,Black,2023,5,Volvo XC90 Full-size SUV by Volvo priced at 8500000 features a 2.0L engine Automatic transmission Diesel fuel type 10 kmpl Black color 5 seater manufactured in 2023,dealer_651,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=17.031883657323593,74.32267011732851"
Lexus RX,Mid-size SUV,Lexus,8500000,3.5L,Automatic,Petrol,10,Red,2022,5,Lexus RX Mid-size SUV by Lexus priced at 8500000 features a 3.5L engine Automatic transmission Petrol fuel type 10 kmpl Red color 5 seater manufactured in 2022,dealer_176,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=14.594473005436267,86.70657086531055"
Tesla Model X,Electric SUV,Tesla,9500000,Electric,Automatic,Electric,95,White,2023,7,Tesla Model X Electric SUV by Tesla priced at 9500000 features an Electric engine Automatic transmission Electric fuel type 95 kmpl White color 7 seater manufactured in 2023,dealer_547,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=25.628937420033502,80.22941410204517"
BMW 3 Series,Sedan,BMW,4000000,2.0L,Automatic,Petrol,15,Black,2023,5,BMW 3 Series Sedan by BMW priced at 4000000 features a 2.0L engine Automatic transmission Petrol fuel type 15 kmpl Black color 5 seater manufactured in 2023,dealer_747,MNY Cars,"https://www.google.com/maps/search/?api=1&query=18.999865253180914,71.83601012263458"
Audi A4,Sedan,Audi,4200000,2.0L,Automatic,Diesel,14,Silver,2023,5,Audi A4 Sedan by Audi priced at 4200000 features a 2.0L engine Automatic transmission Diesel fuel type 14 kmpl Silver color 5 seater manufactured in 2023,dealer_251,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=29.583239903455375,94.11659673585518"
